country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,0.179,0.34,0.762,1.74,0.697,0.724,0.7,0.96,0.992,4.22,6.17,1.31,3.47,0.765,0.894,0.53,0.443,0.513,0.12,1.49,0.648
Algeria,,,,,1.27,1.62,0.816,0.482,0.368,1.17,0.892,4.44,4.17,0.616,1.06,2.29,1.05,1.48,1.62,0.716,0.657,0.626,0.505,0.161,0.13,0.192,0.157,0.151,0.344
Andorra,,,,,,,,9.16,13.6,19.8,12.8,9.7,10.9,21.8,17,20.5,26.7,26.4,15.4,22.3,13.9,10.3,21.6,16.7,19.4,22.1,18.6,,
Antigua and Barbuda,,,,,,,,,,,,0.792,0.0924,,,,,0.78,,0.0565,,,,,,,,,
Argentina,,,,,7.95,6.48,4.76,4.02,5.59,5.07,5.91,8.1,9.35,9.27,7.67,8.9,7.72,6.83,7.05,6.59,9.02,8.69,7.42,7.07,6.42,7.26,6.88,9.01,8.79
Armenia,,,,,,,,,,5.5,,2.28,4.73,10.4,1.62,1.41,1.25,0.619,1.08,0.876,1.41,2.18,1.85,2.6,2.65,2.88,2.7,5.27,5.94
Australia,7.07,7.3,8.07,9.78,10.4,11.5,14.1,12.9,12.1,11.7,11.5,11.1,15.4,15.5,16.5,13.7,13.5,12.8,12.3,10.3,10.8,11.9,11.9,13.1,12.7,12.9,13.6,13.5,14.8
Austria,8.01,7.11,7.87,8.6,8.42,8.78,10.1,8.85,8.87,10.9,11,12.3,14.6,14.6,16.4,15.5,16.2,13.7,13.3,11.3,11,11.6,11.9,11.7,12.8,13.7,13.9,13.4,17.6
Azerbaijan,,,,,,,,,2.23,4.43,13.7,8.54,4.59,8.85,7.9,5.15,2.18,1.06,1.75,3.4,0.923,0.983,1.08,1.35,7.27,13.4,7,2.53,2.08
Bahamas,,,,,,,,,,,27,2.45,6.81,0.684,3.09,,,0.00042,0.389,0.00013,,0.00003,0.0018,,,,,,
Bahrain,,,,,,,1.11,2.63,4.4,,,,0.0361,0.0088,0.00721,0.116,0.0709,0.0666,0.0555,0.0459,2.53,0.0297,0.11,0.152,0.358,0.591,1.48,0.952,1.05
Bangladesh,,0.408,0.484,0.253,0.188,0.0182,0.0641,0.032,0.0628,0.00748,0.0761,,0.213,0.183,0.135,0.251,0.21,0.325,0.22,1.15,0.413,0.263,0.179,0.175,0.448,0.267,,0.299,
Barbados,,,,,20.4,19.4,20,18.4,15.3,17.8,21,25.2,22.7,21.4,15.9,15.6,15.9,20.3,18.1,9.99,4.27,9.8,12.1,13.7,12,15.3,16.4,18.3,24.3
Belarus,,,,,,,,,,,3.75,3.54,3.83,4.08,4.29,3.76,2.85,2.7,2.79,2.77,2.43,3.13,3.03,2.57,2.88,4.4,3.93,4.31,4.69
Belgium,,,,,,,,,,,,9.18,10.7,10.9,8.88,8.94,8.56,8.86,8.4,7.52,7.98,10.4,10.5,10,11.4,11.5,12.8,13,12.5
Belize,,,,,,,0.00123,,,,0.00246,2.64,0.00002,0.0163,0.00778,0.0697,0.00027,0.00993,10.2,0.0758,0.105,0.377,,4.84,,,,,
Benin,,,,,,,,,,,0.225,1.28,0.104,0.139,1.71,0.121,0.0587,0.0994,0.166,0.845,0.396,1.05,0.731,0.427,3.1,1.23,4.13,0.941,2.83
Bhutan,,,,,,,,,,,0.453,,,,,,,4.14,5.49,0.751,0.125,0.216,0.137,0.00009,0.023,,,,
Bolivia,,,,,6.77,3.9,4.36,14.1,38.2,8.04,47,55.2,40,13.5,6.88,7.89,9.21,8.94,22.3,4.68,4.43,4.93,8.4,13.3,9.22,9.43,8.07,6.46,4.46
Bosnia and Herzegovina,,,,,,,,,,,,,,,,1.76,1.88,2.04,2.17,2.14,4.14,3.28,2.58,3.04,2.46,2.3,2.4,2.82,2.61
Botswana,,,,,,,,,,,,,0.507,0.254,0.512,0.449,0.417,0.44,0.421,0.43,0.567,0.925,0.4,0.868,1.17,0.376,0.233,0.632,0.398
Brazil,,6.3,6.46,5.2,4.92,3.95,4.6,4.89,6.21,7.54,9.41,13.2,18.7,19.2,16.5,12,11.6,12.8,12.1,11.9,11.6,13.2,11.2,9.72,10.5,9.65,10.6,12.3,13.4
Brunei,,,,,,,0.143,,,5.49,9,,,0.00003,0.00014,0.00045,6.05,,6.46,15.4,,,,,12.8,15.2,7.76,17.9,
Bulgaria,,,,,,,,,3.86,3.74,3,2.93,2.87,2.89,4.11,4.43,4.06,4.77,6.12,5.97,6.55,8.15,7.91,7.47,7.75,7.96,6.88,7.65,7.96
Burkina Faso,,,,,,,,1.93,6.14,6.3,3.4,4.33,3.18,5.67,2.09,4.99,11.4,22.5,,5.67,0.676,0.513,7.8,5.9,8.2,13.7,10.6,4.98,4.39
Burundi,,,,,,0.0406,1.06,0.197,,,1.49,0.332,0.0294,2.41,22.3,12.1,5.87,4.19,3.14,2.16,7.51,11.5,8.5,0.00025,2.75,0.285,1.28,3.49,
Cambodia,,,,,,,,,,,,,0.0825,0.0669,0.175,0.344,0.155,0.121,0.0283,0.0432,0.0771,0.178,0.0875,0.082,0.128,0.259,0.5,0.76,0.432
Cameroon,,,3.19,,,,,2.63,1.76,1.03,,,1.39,1.38,1.06,2.86,2.06,2.08,2.54,2.93,1.97,2.52,4.87,5.9,3.74,2.67,4.92,3.71,
Canada,10.8,12.1,13.8,15.9,14.9,13.9,13.8,15,15.8,15.5,15.6,15,17.7,15.7,14.2,13.7,12.1,13.1,13.3,12.8,13.6,16.3,14,13.4,13.8,14,13.6,13.8,12.9
Cape Verde,,,,,,,,,,,3.56,5.91,0.816,0.927,0.0298,,,0.00301,,,,,,0.602,,,0.00295,,
Central African Republic,,,,,,0.894,0.245,0.457,0.331,0.371,0.299,0.157,0.0827,1.3,0.0569,0.113,0.236,0.046,0.253,0.749,0.0582,41.8,17.1,0.0325,1.41,0.0383,,,0.0874
